 Atoms   Atom-Neighbour   Distance
158 157       1.09796
158 159       1.10578
158 162       1.53451
  
159 158       1.10578
  
160 161       1.04572
  
161 160       1.04572
161 162       1.46798
161 164       1.41793
  
162 158       1.53451
162 161       1.46798
162 163       1.13308
162 165       1.53497
  
163 162       1.13308
  
164 161       1.41793
164 166       1.20874
164 168       1.49285
  
165 162       1.53497
165 167       1.19953
165 169       1.34657
  
166 164       1.20874
  
167 165       1.19953
  
168 164       1.49285
168 287       1.10130
168 288       1.09858
168 289       1.10769
  
169 165       1.34657
169 286       1.00708
  
170 172       1.20452
  
171 172       1.35119
171 346       0.99471
  
172 170       1.20452
172 171       1.35119
172 175       1.52099
  
173 174       1.10062
  
174  28       1.90335
174 173       1.10062
174 175       1.54075
174 176       1.11300
  
175 172       1.52099
175 174       1.54075
175 177       1.45695
175 178       1.14013
  
176 174       1.11300
  
177 175       1.45695
177 179       1.03030
177 180       1.39362
  
178 175       1.14013
  
179 177       1.03030
  
180 177       1.39362
180 181       1.49562
180 182       1.21651
  
181 180       1.49562
181 347       1.09713
181 348       1.10527
181 349       1.10128
  
182 180       1.21651
  
183 185       1.20500
  
184 185       1.33965
184 301       1.00854
  
185 183       1.20500
185 184       1.33965
185 188       1.53040
  
186 187       1.10675
  
187  21       1.91471
187 186       1.10675
187 188       1.53205
187 189       1.10442
  
188 185       1.53040
188 187       1.53205
188 190       1.46611
188 191       1.13289
  
189 187       1.10442
  
190 188       1.46611
190 192       1.01819
190 193       1.38050
  
191 188       1.13289
  
192 190       1.01819
  
193 190       1.38050
193 194       1.49007
193 195       1.22543
  
194 193       1.49007
194 298       1.09813
194 299       1.10521
194 300       1.10920
  
195 193       1.22543
  
196 198       1.21873
  
197 198       1.49490
197 334       1.09722
197 335       1.10798
197 336       1.09686
  
198 196       1.21873
198 197       1.49490
198 203       1.38227
  
199 201       1.36254
199 337       1.03061
  
200 202       1.13522
  
201 199       1.36254
201 202       1.53159
201 204       1.20287
  
202 200       1.13522
202 201       1.53159
202 203       1.45906
202 206       1.53047
  
203 198       1.38227
203 202       1.45906
203 205       1.02368
  
204 201       1.20287
  
205 203       1.02368
  
206  25       1.90493
206 202       1.53047
206 207       1.10267
206 208       1.10724
  
207 206       1.10267
  
208 206       1.10724
  
209 211       1.21728
  
210 211       1.49478
210 326       1.09631
210 327       1.10531
210 328       1.10436
  
211 209       1.21728
211 210       1.49478
211 216       1.38811
  
212 214       1.34243
212 329       1.00461
  
213 215       1.14201
  
214 212       1.34243
214 215       1.52436
214 217       1.20408
  
215 213       1.14201
215 214       1.52436
215 216       1.46433
215 219       1.52871
  
216 211       1.38811
216 215       1.46433
216 218       1.01437
  
217 214       1.20408
  
218 216       1.01437
  
219 215       1.52871
219 220       1.10786
219 221       1.10715
219 222       1.90502
  
220 219       1.10786
  
221 219       1.10715
  
222   5       2.34896
222   6       2.51892
222 219       1.90502
  
223 225       1.21449
  
224 225       1.49502
224 279       1.10103
224 280       1.11025
224 281       1.09468
  
225 223       1.21449
225 224       1.49502
225 230       1.38890
  
226 228       1.35065
226 278       0.98793
  
227 229       1.13124
  
228 226       1.35065
228 229       1.53998
228 231       1.20018
  
229 227       1.13124
229 228       1.53998
229 230       1.45379
229 233       1.53515
  
230 225       1.38890
230 229       1.45379
230 232       1.00897
  
231 228       1.20018
  
232 230       1.00897
  
233 229       1.53515
233 234       1.10341
233 235       1.10590
233 236       1.89349
  
234 233       1.10341
  
235 233       1.10590
  
236   4       2.37144
236   5       2.36223
236 233       1.89349
  
237 238       1.22212
  
238 237       1.22212
238 240       1.49287
238 243       1.38299
  
239 241       1.13649
  
240 238       1.49287
240 330       1.10428
240 331       1.09593
240 332       1.10477
  
241 239       1.13649
241 243       1.45658
241 246       1.53624
241 247       1.52264
  
242 246       1.35200
242 333       1.00255
  
243 238       1.38299
243 241       1.45658
243 244       1.02625
  
244 243       1.02625
  
245 247       1.11517
  
246 241       1.53624
246 242       1.35200
246 249       1.20058
  
247 241       1.52264
247 245       1.11517
247 248       1.10430
247 250       1.89483
  
248 247       1.10430
  
249 246       1.20058
  
250   8       2.38595
250  29       2.33460
250 247       1.89483
  
251 253       1.21319
  
252 253       1.49657
252 290       1.10550
252 291       1.10242
252 292       1.09842
  
253 251       1.21319
253 252       1.49657
253 256       1.39208
  
254 257       1.34388
254 293       0.99875
  
255 258       1.13798
  
256 253       1.39208
256 258       1.44771
256 260       1.03388
  
257 254       1.34388
257 258       1.53347
257 259       1.21792
  
258 255       1.13798
258 256       1.44771
258 257       1.53347
258 261       1.53195
  
259 257       1.21792
  
260 256       1.03388
  
261 258       1.53195
261 262       1.10344
261 263       1.10494
261 264       1.90268
  
262 261       1.10344
  
263 261       1.10494
  
264   7       2.45351
264   8       2.36701
264 261       1.90268
  
265 267       1.21356
  
266 269       1.13825
  
267 265       1.21356
267 270       1.50334
267 271       1.38748
  
268 273       1.35729
268 305       1.00354
  
269 266       1.13825
269 271       1.45884
269 273       1.53013
269 276       1.53327
  
270 267       1.50334
270 302       1.09725
270 303       1.09897
270 304       1.10096
  
271 267       1.38748
271 269       1.45884
271 275       1.01668
  
272 276       1.10657
  
273 268       1.35729
273 269       1.53013
273 277       1.20028
  
274 276       1.10293
  
275 271       1.01668
  
276   1       1.90780
276 269       1.53327
276 272       1.10657
276 274       1.10293
  
277 273       1.20028
  
278 226       0.98793
  
279 224       1.10103
  
280 224       1.11025
  
281 224       1.09468
  
282  36       1.10287
  
283  36       1.09878
  
284  36       1.09667
  
285  40       1.02443
  
286 169       1.00708
  
287 168       1.10130
  
288 168       1.09858
  
289 168       1.10769
  
290 252       1.10550
  
291 252       1.10242
  
292 252       1.09842
  
293 254       0.99875
  
294  67       1.10396
  
295  67       1.09911
  
296  67       1.09855
  
297  75       1.00681
  
298 194       1.09813
  
299 194       1.10521
  
300 194       1.10920
  
301 184       1.00854
  
302 270       1.09725
  
303 270       1.09897
  
304 270       1.10096
  
305 268       1.00354
  
306 131       1.10270
  
307 131       1.10792
  
308 131       1.09517
  
309 143       1.02121
  
310 127       0.99319
  
311 130       1.10552
  
312 130       1.09760
  
313 130       1.09978
  
314 155       1.09973
  
315 155       1.10937
  
316 155       1.09636
  
317 156       1.00971
  
318 116       1.10792
  
319 116       1.09721
  
320 116       1.09812
  
321 107       0.99772
  
322  95       1.10538
  
323  95       1.10895
  
324  95       1.09292
  
325 100       0.99404
  
326 210       1.09631
  
327 210       1.10531
  
328 210       1.10436
  
329 212       1.00461
  
330 240       1.10428
  
331 240       1.09593
  
332 240       1.10477
  
333 242       1.00255
  
334 197       1.09722
  
335 197       1.10798
  
336 197       1.09686
  
337 199       1.03061
  
338  85       1.09993
  
339  85       1.10342
  
340  85       1.10329
  
341  77       1.00054
  
342  60       1.10297
  
343  60       1.10152
  
344  60       1.09574
  
345  51       0.99231
  
346 171       0.99471
  
347 181       1.09713
  
348 181       1.10527
  
349 181       1.10128
  
